METADATA:,,,,,,,,,,
Block Runtime,Experiment Seed,Subject,,,,,,,,
90,8707290,subject010,,,,,,,,
Time after setup,7.9334354,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
ESQ,705.3044979,,Problem_response,1,Experience Sampling Questions,1,8707290,,Marker Started at 2,Memory Task
ESQ,705.3056115,,Distracting_start,,Experience Sampling Questions,1,8707290,,,Memory Task
ESQ,708.6710379,,Distracting_response,1,Experience Sampling Questions,1,8707290,,Marker Started at 5,Memory Task
ESQ,708.6721918,,Intrusive_start,,Experience Sampling Questions,1,8707290,,,Memory Task
ESQ,711.8552498,,Intrusive_response,1,Experience Sampling Questions,1,8707290,,Marker Started at 6,Memory Task
ESQ,711.856355,,Focus_start,,Experience Sampling Questions,1,8707290,,,Memory Task
ESQ,715.9709575,,Focus_response,10,Experience Sampling Questions,1,8707290,,Marker Started at 4,Memory Task
EXPERIMENT DATA:,Reading Task,,,,,,,,,
Start Time,715.9948137,,,,,,,,,
Reading start,716.0010479,,,,Reading Task,1,8707290,,,
Reading trial start,724.019747,,,,Reading Task,1,8707290,,"['Posters', 'are also', 'used for', 'reproductions', 'of', 'artwork,', 'particularly', 'famous', 'works,', 'and are', 'low-cost', 'compared', 'to the', 'original', 'artwork.']",
Reading trial ended,738.5876389,,,,Reading Task,1,8707290,,,
Reading trial start,738.604579,,,,Reading Task,1,8707290,,"['Emotions', 'are', 'thought', 'to result', 'from', 'evolution', 'because', 'they', 'provided', 'good', 'solutions to', 'the problems', 'that our', 'ancestors', 'faced.']",
Reading trial ended,753.1698613,,,,Reading Task,1,8707290,,,
Reading trial start,753.1874459,,,,Reading Task,1,8707290,,"['Talons', 'are', 'important', 'for birds', 'of prey', 'like', 'hawks,', 'because', 'they', 'need', 'to use', 'them', 'to catch', 'their', 'food.']",
Reading trial ended,767.752698,,,,Reading Task,1,8707290,,,
Reading trial start,767.7694098,,,,Reading Task,1,8707290,,"['Horses', 'can', 'perform a', 'number of', 'mental', 'challenges', 'that include', 'food', 'procurement', 'and', 'identification', 'of individuals', 'within', 'a social', 'system.']",
Reading trial ended,782.3355684,,,,Reading Task,1,8707290,,,
Reading trial start,782.351385,,,,Reading Task,1,8707290,,"['Cotton', 'farmers in', 'developing', 'countries', 'accept', 'a low', 'price', 'for their', 'produce,', 'otherwise', 'it is', 'difficult to', 'compete with', 'developed', 'countries.']",
Reading trial ended,796.9182244,,,,Reading Task,1,8707290,,,
Reading trial start,796.9354615,,,,Reading Task,1,8707290,,"['Lobsters', 'are', 'omnivores', 'and typically', 'eat', 'live', 'prey', 'such as', 'fish,', 'molluscs,', 'other', 'crustaceans,', 'worms,', 'and some', 'plants.']",
Reading trial ended,811.5012418,,,,Reading Task,1,8707290,,,
Reading trial start,811.5184236,,,,Reading Task,1,8707290,,"['Seaweeds', 'are', 'sometimes', 'used as', 'animal', 'feed,', 'and have', 'long been', 'eaten by', 'sheep,', 'horses', 'and cattle', 'in', 'Northern', 'Europe.']",
Reading trial ended,826.084073,,,,Reading Task,1,8707290,,,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,826.0880775,,,,,,,,,
ESQ,829.7285509,,Future_start,,Experience Sampling Questions,1,8707290,,,Reading Task
ESQ,833.3832548,,Future_response,1,Experience Sampling Questions,1,8707290,,Marker Started at 6,Reading Task
ESQ,833.3843985,,Past_start,,Experience Sampling Questions,1,8707290,,,Reading Task
ESQ,837.367225,,Past_response,1,Experience Sampling Questions,1,8707290,,Marker Started at 5,Reading Task
ESQ,837.368307,,Self_start,,Experience Sampling Questions,1,8707290,,,Reading Task
ESQ,841.43308,,Self_response,2,Experience Sampling Questions,1,8707290,,Marker Started at 9,Reading Task
ESQ,841.4342088,,Focus_start,,Experience Sampling Questions,1,8707290,,,Reading Task
ESQ,844.5328162,,Focus_response,10,Experience Sampling Questions,1,8707290,,Marker Started at 7,Reading Task
ESQ,844.5338481,,Distracting_start,,Experience Sampling Questions,1,8707290,,,Reading Task
ESQ,847.4507829,,Distracting_response,1,Experience Sampling Questions,1,8707290,,Marker Started at 3,Reading Task
ESQ,847.4518871,,Deliberate_start,,Experience Sampling Questions,1,8707290,,,Reading Task
ESQ,850.2506401,,Deliberate_response,1,Experience Sampling Questions,1,8707290,,Marker Started at 2,Reading Task
ESQ,850.2517255,,Detailed_start,,Experience Sampling Questions,1,8707290,,,Reading Task
ESQ,854.7326169,,Detailed_response,4.8,Experience Sampling Questions,1,8707290,,Marker Started at 3,Reading Task
ESQ,854.7337134,,Other_start,,Experience Sampling Questions,1,8707290,,,Reading Task
ESQ,860.0327744,,Other_response,5.4,Experience Sampling Questions,1,8707290,,Marker Started at 10,Reading Task
